2021-08-05T16:38:46+02:00
Running build/bin/bench
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1024 KiB (x4)
  L3 Unified 8448 KiB (x1)
Load Average: 0.05, 0.19, 0.30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"BytesProcessed","ItemsProcessed","dataSize","wireSize"
"Flatbuffers(object api)/4096/0/0/repeats:3_mean",3,18100.8,18100.3,ns,,,,,,6.36029e+09,55248.7,115121,115368
"Flatbuffers(object api)/4096/0/0/repeats:3_median",3,18099.3,18098.9,ns,,,,,,6.36066e+09,55251.9,115121,115368
"Flatbuffers(object api)/4096/0/0/repeats:3_stddev",3,91.8262,92.1328,ns,,,,,,3.23715e+07,281.196,0,0
"Flatbuffers(object api)/8192/0/0/repeats:3",16551,41946.8,41946.3,ns,,,,,,5.47865e+09,23840,229809,230056
"Flatbuffers(object api)/8192/0/0/repeats:3",16551,41606.7,41606.1,ns,,,,,,5.52345e+09,24034.9,229809,230056
"Flatbuffers(object api)/8192/0/0/repeats:3",16551,42077.8,42075.8,ns,,,,,,5.46179e+09,23766.6,229809,230056
"Flatbuffers(object api)/8192/0/0/repeats:3_mean",3,41877.1,41876,ns,,,,,,5.48796e+09,23880.5,229809,230056
"Flatbuffers(object api)/8192/0/0/repeats:3_median",3,41946.8,41946.3,ns,,,,,,5.47865e+09,23840,229809,230056
"Flatbuffers(object api)/8192/0/0/repeats:3_stddev",3,243.141,242.596,ns,,,,,,3.18666e+07,138.666,0,0
"CapnProto/10000/0/0/repeats:3",9746,70856.2,70855.3,ns,,,,,,3.95783e+09,14113.3,280433,241896
"CapnProto/10000/0/0/repeats:3",9746,70662.6,70660.5,ns,,,,,,3.96874e+09,14152.2,280433,241896
"CapnProto/10000/0/0/repeats:3",9746,71246,71244.2,ns,,,,,,3.93622e+09,14036.2,280433,241896
"CapnProto/10000/0/0/repeats:3_mean",3,70921.6,70920,ns,,,,,,3.95426e+09,14100.6,280433,241896
"CapnProto/10000/0/0/repeats:3_median",3,70856.2,70855.3,ns,,,,,,3.95783e+09,14113.3,280433,241896
"CapnProto/10000/0/0/repeats:3_stddev",3,297.161,297.143,ns,,,,,,1.65462e+07,59.0024,0,0
"CapnProto/10/100/1/repeats:3",34469,19301.9,19301.7,ns,,,,,,1.04291e+08,51809,2013,12320
"CapnProto/10/100/1/repeats:3",34469,19489,19488.3,ns,,,,,,1.03293e+08,51312.8,2013,12320
"CapnProto/10/100/1/repeats:3",34469,19851.1,19850.9,ns,,,,,,1.01406e+08,50375.6,2013,12320
"CapnProto/10/100/1/repeats:3_mean",3,19547.3,19546.9,ns,,,,,,1.02997e+08,51165.8,2013,12320
"CapnProto/10/100/1/repeats:3_median",3,19489,19488.3,ns,,,,,,1.03293e+08,51312.8,2013,12320
"CapnProto/10/100/1/repeats:3_stddev",3,279.206,279.259,ns,,,,,,1.46528e+06,727.906,0,0
"CapnProto/256/0/0/repeats:3",279327,2503.13,2503.1,ns,,,,,,3.03664e+09,399505,7601,6768
"CapnProto/256/0/0/repeats:3",279327,2495.89,2495.81,ns,,,,,,3.0455e+09,400671,7601,6768
"CapnProto/256/0/0/repeats:3",279327,2503.76,2503.74,ns,,,,,,3.03586e+09,399402,7601,6768
"CapnProto/256/0/0/repeats:3_mean",3,2500.92,2500.88,ns,,,,,,3.03933e+09,399860,7601,6768
